"DateTime","Temperature","Light"
"12/14/13 9:01:00 AM","-0.5",""
"12/14/13 1:01:00 PM","-0.5",""
"12/14/13 5:01:00 PM","0",""
"12/14/13 9:01:00 PM","0",""
"12/15/13 1:01:00 AM","-0.5",""
"12/15/13 5:01:00 AM","-0.5",""
"12/15/13 9:01:00 AM","-1",""
"12/15/13 1:01:00 PM","-0.5",""
"12/15/13 5:01:00 PM","0",""
"12/15/13 9:01:00 PM","0",""
"12/16/13 1:01:00 AM","-0.5",""
"12/16/13 5:01:00 AM","-0.5",""
"12/16/13 9:01:00 AM","-1",""
"12/16/13 1:01:00 PM","-0.5",""
"12/16/13 5:01:00 PM","0",""
"12/16/13 9:01:00 PM","0",""
"12/17/13 1:01:00 AM","0",""
"12/17/13 5:01:00 AM","-0.5",""
"12/17/13 9:01:00 AM","-1",""
"12/17/13 1:01:00 PM","-0.5",""
"12/17/13 5:01:00 PM","0",""
"12/17/13 9:01:00 PM","0",""
"12/18/13 1:01:00 AM","0",""
"12/18/13 5:01:00 AM","-0.5",""
"12/18/13 9:01:00 AM","-1",""
"12/18/13 1:01:00 PM","0",""
"12/18/13 5:01:00 PM","0",""
"12/18/13 9:01:00 PM","0",""
"12/19/13 1:01:00 AM","0",""
"12/19/13 5:01:00 AM","0.5",""
"12/19/13 9:01:00 AM","0.5",""
"12/19/13 1:01:00 PM","0.5",""
"12/19/13 5:01:00 PM","0.5",""
"12/19/13 9:01:00 PM","0.5",""
"12/20/13 1:01:00 AM","0.5",""
"12/20/13 5:01:00 AM","0.5",""
"12/20/13 9:01:00 AM","0.5",""
"12/20/13 1:01:00 PM","0.5",""
"12/20/13 5:01:00 PM","0.5",""
"12/20/13 9:01:00 PM","0.5",""
"12/21/13 1:01:00 AM","0.5",""
"12/21/13 5:01:00 AM","0",""
"12/21/13 9:01:00 AM","-0.5",""
"12/21/13 1:01:00 PM","0",""
"12/21/13 5:01:00 PM","0",""
"12/21/13 9:01:00 PM","-0.5",""
"12/22/13 1:01:00 AM","-1",""
"12/22/13 5:01:00 AM","-1.5",""
"12/22/13 9:01:00 AM","-2",""
"12/22/13 1:01:00 PM","-1.5",""
"12/22/13 5:01:00 PM","0",""
"12/22/13 9:01:00 PM","-1",""
"12/23/13 1:01:00 AM","-2",""
"12/23/13 5:01:00 AM","-3",""
"12/23/13 9:01:00 AM","-3",""
